,Debt_to_total_assets_ratio,Operating_profit_to_sale,Fixed_asset_turnover,Return_from_market,Current_assets_ratio,Working_capital_return,Longterm_debt_to_equity_ratio,Return_ratio_without_risk,Profit_margin_growth_rate,Stock_market_value,Net_profit_to_sale,Net_profit_to_Gross_profit,Current_ratio,Net_working_capital,Operating_assets_Ratio,Total_asset_turnover,DPS,EPS_growth,Liquidity_ratios,ROA,Quick_Ratio,Average_payment_period,ROE,EPS,Total_income_growth,P_to_E,ROI,Capital,P_to_B,P_to_S,Cash_to_total_assets_ratio,Debt_to_equity_ratio,Equity_Ratio,DuPont_Ratio,Gross_profit_margin,Operating_profit_margin,Net_profit_margin,Sales_growth_rate,Current_debt_to_total_debt_Ratio,Cost_to_sales_ratio,Sale_to_current_assets,Operating_cash_flow_to_sales,Cash_flow_returns_to_sales,Profit_margin_before_interest_and_taxes,Net_return_on_working_capital
Net_profit_to_sale,0.12768015945720923,0.9885705661057708,0.02752927825908133,0.15389399667532594,-0.071659443423235,0.13978775616880967,-0.008675297617213572,-0.026797336889347437,0.0678038493924963,0.9130047909268276,1.0,0.9800670724456474,0.1485363698621032,0.8653557328205403,0.1969666255753161,0.03356360938308313,0.2567081762613638,0.042898462673744864,0.022412857016489006,0.33027466302438163,0.17516117246331653,0.04294754383740488,0.24300610058441627,0.26107236586414095,0.053774927618407915,0.02174561205078147,0.29196031278558987,0.7616221787577021,0.09462269936006215,0.1449425190693122,0.13444229122045911,-0.07254416269716883,-0.0725243976118031,0.16492961997884006,0.18072332789253573,0.2178716410279705,0.2836953179636808,0.16253487360249663,-0.0024639430754698813,-0.05704376867325495,0.09639963716233368,0.036351392653796236,0.137449935929661,0.22639244643045464,-0.03914430164992597
Net_profit_to_Gross_profit,0.13711444370473708,0.9917848919668495,0.041836334764103145,0.14709927050354427,-0.06757811754017536,0.14468628122564084,0.020362293407666286,-0.023236386578411723,0.06373631604468293,0.8890529051447983,0.9800670724456474,1.0,0.11771231945134987,0.8234224005226959,0.20152521814767704,0.032354654732778314,0.2483784854499214,0.033015406109995094,0.013421117760821789,0.3039644614960644,0.14532996646705534,0.04117917024369606,0.24299027346046992,0.25295005557728834,0.04176917778553376,0.02063530412181234,0.26994822245445976,0.7770382531587047,0.0943788383840518,0.1272418797570986,0.11777005100018677,-0.03702988181038857,-0.03700994183538567,0.12660064676467583,0.17680002192263847,0.20827378060723373,0.24483357441925702,0.16069087064779441,-0.0013351402133817659,-0.05282734672928217,0.10724895602430817,0.012024197413920957,0.13014924523911112,0.19914207089740565,-0.03848226128650389
Current_ratio,-0.18528641934703824,0.12466213169826866,0.040440850017520534,0.18095136560607022,0.2683261257337355,-0.003957232596833227,-0.24774508678108675,0.01202824935803198,0.11120183941434615,0.15044192543553578,0.1485363698621032,0.11771231945134987,1.0,0.24277227807663296,0.1844813614067005,0.042367349717927306,0.10233850106573852,0.06970272556207208,0.31557923906935476,0.41439671764168773,0.8413687899611431,0.08220676285062097,0.13843978492852863,0.1501830621350413,0.09708293499030742,0.043149454366948205,0.2919551846674261,0.050688081728847756,0.13876229129310816,0.315852572062801,0.17269715340207573,-0.35244613059632696,-0.3524286275232993,0.5744494370178367,0.23910643534361475,0.22454475412447947,0.39899650519151564,0.18631439367791358,-0.10471959850723046,0.10724652096805984,-0.1420739466780202,0.17745961010946146,0.04155068719492484,0.30553343482520223,-0.02460921637316657
Net_working_capital,0.045343158332607124,0.8339900396728581,0.05476018852709788,0.20180488707414465,0.06088857813148457,0.06331058375059724,-0.025682496393808492,-0.031052901629561706,0.06998471209256986,0.8279032152828247,0.8653557328205403,0.8234224005226959,0.24277227807663296,1.0,0.23482581338228461,0.042456983620853074,0.25545549490367,0.04950692971293025,0.056927644540574404,0.3273959567973779,0.2580047532520102,0.044366679868189506,0.22744191557434437,0.2668634359927414,0.06399452363621261,0.03529906110911902,0.2825826811294442,0.5944293910399358,0.11891184563886147,0.17027960128293346,0.16763668128289186,-0.10040097058518845,-0.10038105127771067,0.19022577047515526,0.1645337560997465,0.2030278662410667,0.2692625050672868,0.16340635945314358,-0.02391963287332746,-0.035226787267580495,0.061256355990646466,0.009959482214053869,0.08625891944069401,0.22028127802426975,-0.037717937721159674
Operating_assets_Ratio,0.08846463029846262,0.2011559475482285,0.043108906438101925,0.6962535438872073,0.09043030573460352,0.04200670258074743,-0.07706756308654833,0.1429192307738831,0.06857177845214257,0.3444582816991481,0.1969666255753161,0.20152521814767704,0.1844813614067005,0.23482581338228461,1.0,0.12345129573393378,0.08883485280656295,0.10520847206371876,0.010572261020096329,0.2890161335528241,0.12170734276117635,0.02801603352416949,0.22365459523474998,0.14836522907794536,0.12472214398100946,0.189555332450696,0.2487937054293903,0.14474009363910112,0.6526432057485143,0.5389827221187218,0.16367515667893578,-0.13318151891765836,-0.1331460933950246,0.2087785530677344,0.056593738830506765,0.09202400517999734,0.16697738681116941,0.38849544269320907,0.012434083750811934,-0.0978830489610633,0.09924259674962373,0.02445670783551505,-0.10024974119655361,0.11683261525659089,-0.029566545311437823
Total_asset_turnover,-0.034515837066094505,0.031999900733855675,0.03007797410264821,0.10356399300056714,0.050497529150117425,0.0180645646034182,0.010858905006748036,0.013498999197151413,0.028119607758900107,0.044403508308037916,0.03356360938308313,0.032354654732778314,0.042367349717927306,0.042456983620853074,0.12345129573393378,1.0,0.017052369354863896,0.03496469422247408,-0.017586911366717344,0.043119858543541334,0.018682649649416908,0.017642895180052107,0.04777043530662706,0.055299272502361704,0.036550779710630844,0.030776119148018154,0.040381444716108494,0.021454518344382292,0.08845697230820701,0.08409303050660136,0.04112860020963035,0.009988677313908042,0.009992864025963456,0.0002304104360849252,0.019146882748837926,0.015881414088892067,0.03370165084383761,0.07177007732003264,0.0011727894353130422,0.015678171312099892,-0.014819791953871926,2.3409651742987204e-05,-0.022411176746347763,0.024792546713487962,-0.01594597249372416
DPS,0.0717811472584572,0.24654785683181557,0.18272795203079248,0.12965780046410702,0.13558856456931095,0.09360071858859506,0.19526784349882004,0.05680795798386861,0.038504208419926175,0.2213566029048464,0.2567081762613638,0.2483784854499214,0.10233850106573852,0.25545549490367,0.08883485280656295,0.017052369354863896,1.0,0.04978031076739674,0.05295047129740988,0.6222733613658084,0.13909127665961996,0.023521552227360368,0.6879231778778697,0.8785546994849576,0.04127222593905446,-0.05174984188690294,0.6424258708596632,0.004796713535097353,0.2022811384583523,0.12300630082710852,0.2326056789248373,-0.018868159782597933,-0.01885202798478562,0.05087233856527711,0.4379712564225046,0.45515172118502395,0.4428982043462911,0.13290312223615877,0.04525175667198158,-0.009198699475901807,0.05837653499784927,-0.36809982147829073,0.2055568388583507,0.42324543476504317,-0.009407267335146794
EPS_growth,-0.00044315586133372644,0.03759507222575891,0.03538993445938751,0.165114795205594,0.043263759145383426,0.028907957602952394,0.0534499206607311,-0.029705378437066554,0.10427317665037518,0.05084131798042957,0.042898462673744864,0.033015406109995094,0.06970272556207208,0.04950692971293025,0.10520847206371876,0.03496469422247408,0.04978031076739674,1.0,0.023679318671189307,0.16368360425297895,0.07121168094197716,0.017267129190129345,0.18962286233427886,0.11068999103513232,0.9671175642500908,0.014610072585096381,0.13694013638996208,-0.0018407099904132038,0.10627796922916732,0.10405923192010515,0.05248800920682722,-0.00024222797335908858,-0.00023148120060169277,0.04110240152129679,0.04426848605616816,0.048537030713476745,0.12882510528903862,0.21569571352612288,-0.003339019033017237,-0.0014547768327646668,0.008954607376794325,-0.047652293405602064,-0.08235725010555166,0.11056699057218014,-0.023898457055650503
Liquidity_ratios,-0.04943393047636248,0.010164943678088538,0.26501278816038815,-0.05375519223500755,0.07646766150131001,-0.008529640338465582,-0.08663048536939066,0.3666811753367748,0.11958055819262585,0.014623389867560191,0.022412857016489006,0.013421117760821789,0.31557923906935476,0.056927644540574404,0.010572261020096329,-0.017586911366717344,0.05295047129740988,0.023679318671189307,1.0,0.20653495624309698,0.33829972523368534,0.04758985873935922,0.07536601708966506,0.09216084017686903,0.034462339070690406,-0.01600874403353604,0.14770192938052915,-0.01947207274254558,0.011233105185615912,0.021978525152013186,0.13448209071528688,-0.16166903815622166,-0.1617065865208822,0.2709284384987407,0.010263092486543385,0.024087485048299433,0.08918046526961722,0.09410580111867246,-0.061072829822793,-0.06544976395927235,0.10137841577185677,-0.06852469917384184,-0.016204845151520715,0.024790092003291058,-0.0009288606823423175
ROA,-0.011479304417728799,0.3148661724574425,0.062360436320763914,0.32814854202584154,0.09342044604476694,0.09522213853146769,-0.13079305991871396,0.07312697474440395,0.07302614752413729,0.3178083282699262,0.33027466302438163,0.3039644614960644,0.41439671764168773,0.3273959567973779,0.2890161335528241,0.043119858543541334,0.6222733613658084,0.16368360425297895,0.20653495624309698,1.0,0.368344521906328,0.024763139712046085,0.8136493889295363,0.6801690757059088,0.18013716579028022,-0.07933336664324506,0.9346188018440129,0.11595326523071299,0.3223641903354283,0.3408750261694569,0.3539684129115737,-0.3992393765511854,-0.399246543319694,0.5274112817926754,0.6103231457008405,0.6487655916587952,0.7857485617228125,0.3619586023275118,0.019812053400246697,-0.0785409194483718,0.06117445886963335,-0.19435841855425579,0.29520733565308366,0.6863303132398864,-0.0072908830485594114
Quick_Ratio,-0.20125653163953292,0.149140054689655,0.02930336601627436,0.12136605003559707,0.22530799492791934,0.00756385034159878,-0.14291109042142838,-0.07322466663963359,0.14748553774178721,0.16556097557483904,0.17516117246331653,0.14532996646705534,0.8413687899611431,0.2580047532520102,0.12170734276117635,0.018682649649416908,0.13909127665961996,0.07121168094197716,0.33829972523368534,0.368344521906328,1.0,0.09427498305973524,0.14957925668198907,0.19568008006404852,0.09741189424020977,0.039008164694857184,0.24738173695671714,0.0681123258795581,0.11879353685656878,0.31641404257097633,0.1738705311197861,-0.22525131751634653,-0.2252128952051377,0.43395377572973043,0.27895023673516095,0.2612630417035034,0.42981017131473936,0.1645744414116842,-0.024260663119801195,0.13379486684754557,-0.144729144350779,0.13404886340172717,0.05259480596255178,0.3722488179251298,-0.03205068411701377
Average_payment_period,0.004414911907731519,0.041180902092666054,0.015212136946613363,0.016350272067618174,0.002656454268173358,0.020486332186080945,0.02251174345359993,-0.0006420439373894483,0.028741058719823163,0.04475307465638523,0.04294754383740488,0.04117917024369606,0.08220676285062097,0.044366679868189506,0.02801603352416949,0.017642895180052107,0.023521552227360368,0.017267129190129345,0.04758985873935922,0.024763139712046085,0.09427498305973524,1.0,0.01794225004796277,0.027424265790176656,0.019273524102976215,0.024269026906233098,0.015923656777529906,0.030592551800766546,0.03407685462521825,0.04418283078305422,0.018566390539771487,0.015017135895423,0.015019057965310561,0.018460360839180505,0.015668562579764258,0.01114062827717564,0.029933446562478167,0.015033473473099397,-0.015194465990903046,0.021890185535152616,0.014431405761312703,0.0180951490049859,0.002752943505338685,0.022304348561562368,-0.017226829513804866
ROE,-0.03687108334084908,0.24902449173103144,0.1978633953442901,0.3171175368959274,0.21424864553567669,0.09397581698989736,0.2676693893143682,0.042265395043138164,0.061035546300620774,0.23712132329972893,0.24300610058441627,0.24299027346046992,0.13843978492852863,0.22744191557434437,0.22365459523474998,0.04777043530662706,0.6879231778778697,0.18962286233427886,0.07536601708966506,0.8136493889295363,0.14957925668198907,0.01794225004796277,1.0,0.7495638992829001,0.2019760529923181,-0.10137691403715526,0.8196994627130928,0.04453537819237124,0.3531773058848236,0.2225168161240903,0.21232311388775654,-0.027937146764675257,-0.027960506924605798,0.07863034096357151,0.518785979218647,0.5628079717969916,0.5875202365835699,0.3681885014499375,0.04197243641337613,-0.11429698214403398,0.07249624638225782,-0.41762327414912553,0.16433327978418277,0.5594884057587137,-0.0053322952851567245
EPS,0.010515423525166665,0.25269920874715207,0.21764521111016802,0.18798617155658762,0.1853651233146903,0.07976716953015145,0.2032097308814073,0.06836167898098629,0.05674087931353168,0.24160715485683773,0.26107236586414095,0.25295005557728834,0.1501830621350413,0.2668634359927414,0.14836522907794536,0.055299272502361704,0.8785546994849576,0.11068999103513232,0.09216084017686903,0.6801690757059088,0.19568008006404852,0.027424265790176656,0.7495638992829001,1.0,0.09844028830207462,-0.05590089154042043,0.6739616258033717,0.010380935283606618,0.27181636273069687,0.18840174483194497,0.2142354867611808,-0.03867731950223456,-0.03868847124009809,0.08739305990802036,0.47412615719372353,0.49144248055652745,0.5072913900412357,0.21114426091335384,0.06684669101188402,0.003768693690341827,0.03005769896459624,-0.397133584835366,0.15503473063702072,0.4882794877325489,-0.014350498450790347
Total_income_growth,-0.011256049989570976,0.046982207445757276,0.033027315594795104,0.18173894982133193,0.04966198587765301,0.029333471519548907,0.042090504481313,-0.020158620841637106,0.11118409669455329,0.06449203351383885,0.053774927618407915,0.04176917778553376,0.09708293499030742,0.06399452363621261,0.12472214398100946,0.036550779710630844,0.04127222593905446,0.9671175642500908,0.034462339070690406,0.18013716579028022,0.09741189424020977,0.019273524102976215,0.2019760529923181,0.09844028830207462,1.0,0.015538954811018238,0.1423723247683738,0.014190511056219943,0.11031185808003861,0.12487151004493764,0.05185435131682066,-0.015771979717284553,-0.01575681165473158,0.06253610772605632,0.05070070232244772,0.05390332412927632,0.15448587635862532,0.23711019455990753,-0.014780195414354018,-0.0008430473060072283,-0.0021442596312791335,0.00195574670103989,-0.10088143108827458,0.13604179120444182,-0.02452126075977766
P_to_E,0.049013609795139565,0.019542483597216345,0.013724893913141278,0.169417781152822,0.009355474999085935,0.015075675871012627,0.02389763349731142,-0.01908024621502707,0.039839780713099605,0.06626325611239779,0.02174561205078147,0.02063530412181234,0.043149454366948205,0.03529906110911902,0.189555332450696,0.030776119148018154,-0.05174984188690294,0.014610072585096381,-0.01600874403353604,-0.07933336664324506,0.039008164694857184,0.024269026906233098,-0.10137691403715526,-0.05590089154042043,0.015538954811018238,1.0,-0.09606947905277129,0.026788471263735594,0.2540508382298461,0.2095031231469885,0.020392635206023014,0.06775954357940756,0.06777270186900985,-0.013489511118247166,-0.0969270080618236,-0.10744000265333702,-0.08251057582548246,0.08902883464909823,-0.02193813196927087,0.0738684812538265,0.02161404713714681,0.09200483299795739,-0.06044842571599873,-0.08761952994180433,-0.023730063856625485
ROI,0.02992006415992426,0.2750274436201539,0.06778139422457627,0.280924407743039,0.10375798708866678,0.08669773478861648,-0.074072006349253,0.04894876686216703,0.049053993326804365,0.27177797460597525,0.29196031278558987,0.26994822245445976,0.2919551846674261,0.2825826811294442,0.2487937054293903,0.040381444716108494,0.6424258708596632,0.13694013638996208,0.14770192938052915,0.9346188018440129,0.24738173695671714,0.015923656777529906,0.8196994627130928,0.6739616258033717,0.1423723247683738,-0.09606947905277129,1.0,0.0903137088815357,0.3261123397300211,0.2805932786835826,0.35027908036496397,-0.35400719764683425,-0.3540087380440572,0.42055273643440416,0.5260760169062902,0.5599302095319276,0.695458405649109,0.2894580505776371,0.07496442321625693,-0.05842095017638014,0.1213924363457736,-0.2781716979423548,0.31442720563665166,0.5810834378965806,-0.000373317127672672
Capital,0.09055585189849151,0.7699213443783253,-0.029665484425929468,0.07906786547220085,-0.15890484287130574,0.13351740687180685,-0.04530170698161929,-0.020631845018119998,0.04721888921362785,0.6872761136512168,0.7616221787577021,0.7770382531587047,0.050688081728847756,0.5944293910399358,0.14474009363910112,0.021454518344382292,0.004796713535097353,-0.0018407099904132038,-0.01947207274254558,0.11595326523071299,0.0681123258795581,0.030592551800766546,0.04453537819237124,0.010380935283606618,0.014190511056219943,0.026788471263735594,0.0903137088815357,1.0,0.036198758440077666,0.11710666096122309,0.028495391533571203,-0.0726848304357148,-0.07266628777270615,0.14875288000607237,0.09484866681330985,0.12919884732008097,0.17978522897088614,0.09062399907572301,0.002389925660799026,-0.08565078587908063,0.05663188600034871,0.23551648082317028,0.10525610899642723,0.13941170703250602,-0.03001951322636869
P_to_B,-0.00444407694956584,0.09433021790997347,0.0928527589609505,0.591468729000862,0.14818653930206754,0.05722987393082668,0.09171131227176686,0.08044303682357491,0.07570833739862722,0.24451067671112092,0.09462269936006215,0.0943788383840518,0.13876229129310816,0.11891184563886147,0.6526432057485143,0.08845697230820701,0.2022811384583523,0.10627796922916732,0.011233105185615912,0.3223641903354283,0.11879353685656878,0.03407685462521825,0.3531773058848236,0.27181636273069687,0.11031185808003861,0.2540508382298461,0.3261123397300211,0.036198758440077666,1.0,0.6625032645513117,0.160330793036036,0.022846556948164416,0.02286975211412886,0.05522339191543099,0.11507250929080211,0.113094294752985,0.16929515785959318,0.35314924255997193,0.0049551561183133076,0.040425891108670786,0.09643583368410061,-0.1222001553492705,-0.044235497966121674,0.12685065125419853,-0.030630206519615694
P_to_S,-0.05724977586537269,0.13379956201602608,-0.039053797673521004,0.4744324223668953,0.028087517776921384,0.06989576037122631,-0.09088232259057118,0.04979482058594029,0.13777444650503579,0.2715510046271422,0.1449425190693122,0.1272418797570986,0.315852572062801,0.17027960128293346,0.5389827221187218,0.08409303050660136,0.12300630082710852,0.10405923192010515,0.021978525152013186,0.3408750261694569,0.31641404257097633,0.04418283078305422,0.2225168161240903,0.18840174483194497,0.12487151004493764,0.2095031231469885,0.2805932786835826,0.11710666096122309,0.6625032645513117,1.0,0.1536014356646371,-0.16421317184824247,-0.16417417881831764,0.2871061974699939,0.2682177876491818,0.24201460485247217,0.409969830165505,0.2617562502558637,-0.016451086606652975,0.1420681327234992,-0.09177485667045517,0.2624474046388585,0.05025978344657667,0.36697491310991454,-0.0369649686381475
Cash_to_total_assets_ratio,0.2249660676983491,0.11303815081274232,-0.06718606644487464,0.16336837348647565,-0.14076473249333193,0.054553672537495324,-0.08045799100099875,-0.023207866784669958,0.04961058186322352,0.12881140432190447,0.13444229122045911,0.11777005100018677,0.17269715340207573,0.16763668128289186,0.16367515667893578,0.04112860020963035,0.2326056789248373,0.05248800920682722,0.13448209071528688,0.3539684129115737,0.1738705311197861,0.018566390539771487,0.21232311388775654,0.2142354867611808,0.05185435131682066,0.020392635206023014,0.35027908036496397,0.028495391533571203,0.160330793036036,0.1536014356646371,1.0,-0.18125329672962734,-0.1812330749762357,0.26773579496329253,0.0893103133138263,0.08532035284985894,0.20940993268555105,0.11409749135477533,-0.13551763112203563,0.05972338918715808,0.16834845899165407,-0.09072358027972387,0.31803630500510094,0.10850219787934166,-0.015855852291763062
