Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Mode,Mean,Std
Liquidity_ratios,13,13,14,6,19,6,15,20,16,24,11,16,15,17,11,21,13,16,15,13,13,14,26,12,17,13,15.04,4.632134137378436
Gross_profit_margin,28,20,26,14,10,26,14,27,20,15,20,29,17,12,4,16,16,14,13,15,23,9,8,27,24,14,17.88,6.954135460285484
Sale_to_current_assets,14,25,19,29,14,20,11,40,14,44,18,15,16,25,14,14,30,20,12,43,19,12,21,17,15,14,20.84,9.551090688153543
Cost_to_sales_ratio,12,19,18,13,16,18,16,15,19,19,16,11,14,21,10,18,8,22,7,22,15,20,10,14,23,16,15.84,4.459820624195552
Fixed_asset_turnover,19,18,22,10,17,15,22,2,15,16,17,21,33,5,13,41,14,17,18,17,16,21,12,11,13,17,17.0,7.772815877574012
Net_profit_margin,20,16,24,30,21,17,20,22,26,18,37,19,10,16,37,34,15,19,24,21,20,36,28,19,22,19,22.84,7.19768481295664
Current_assets_ratio,18,33,23,11,37,24,26,16,30,38,19,30,19,41,40,19,19,18,37,44,30,17,16,21,31,19,26.28,9.396453231583358
ROA,38,26,30,44,26,32,24,36,21,35,26,28,12,31,33,39,24,36,19,38,21,19,44,34,19,19,29.4,8.396427811873332
Cash_flow_returns_to_sales,45,12,32,26,32,29,21,39,27,23,40,40,39,18,27,30,34,25,23,20,24,29,35,16,21,21,28.28,8.37416662520317
Longterm_debt_to_equity_ratio,22,24,9,21,20,30,25,18,6,14,5,24,21,20,25,12,22,11,17,19,25,23,11,22,8,22,18.16,6.792643079096678
DPS,29,28,15,23,34,36,13,32,25,26,31,36,41,15,23,25,27,27,30,24,28,35,25,23,37,23,27.52,6.99475994346244
P_to_E,17,42,38,24,15,21,31,34,28,22,29,23,30,37,18,32,33,24,27,23,40,18,37,24,28,24,27.8,7.544313531837517
ROE,23,15,28,22,22,25,23,12,17,21,21,25,25,13,21,10,20,39,43,16,18,25,15,29,16,25,21.76,7.622772898799141
Return_from_market,15,36,10,16,31,34,17,14,18,17,24,26,43,26,12,11,12,44,14,18,35,38,20,25,26,26,23.28,10.317945531936093
Profit_margin_before_interest_and_taxes,37,23,33,43,30,27,28,26,41,30,43,22,27,44,29,26,21,26,29,28,22,27,36,26,29,26,30.12,6.7965677612551865
Sales_growth_rate,27,31,27,41,36,22,41,30,29,33,38,20,20,42,39,45,29,15,41,30,27,15,32,42,27,27,31.16,8.634620238705734
EPS,42,29,20,27,44,40,35,28,22,29,27,32,40,29,19,22,42,40,38,25,33,41,13,38,43,29,31.92,8.7460467259976
Current_debt_to_total_debt_Ratio,32,22,43,42,35,19,34,29,45,45,41,37,34,33,24,44,41,29,25,29,42,43,39,28,32,29,34.68,7.7012985917960615
Profit_margin_growth_rate,24,27,21,19,27,28,29,25,23,25,22,18,24,30,30,23,31,30,34,26,17,32,29,32,18,30,25.76,4.824244327698726
Net_return_on_working_capital,31,30,31,28,28,33,27,38,24,28,39,27,22,28,26,31,23,31,39,31,26,31,34,35,20,31,29.64,4.973932046178355
Operating_profit_margin,43,32,36,35,25,31,30,41,37,31,30,45,31,22,17,27,36,23,45,36,39,42,19,39,39,31,33.24,7.8807783033572685
Total_asset_turnover,25,35,37,25,33,35,32,23,38,27,34,38,23,32,31,29,25,33,28,27,29,33,31,36,33,33,30.88,4.576388678131845
Return_ratio_without_risk,33,21,25,36,29,23,43,21,36,37,23,41,32,24,45,35,39,37,22,41,44,24,33,33,42,33,32.76,7.943970459830945
P_to_S,26,34,40,34,18,43,37,33,32,20,28,31,29,38,32,20,28,34,21,37,32,34,24,37,36,34,31.12,6.63525935187666
ROI,40,37,42,40,41,37,42,44,34,43,32,39,18,34,34,37,35,32,26,39,31,37,43,43,25,37,36.2,6.377042156569663
Total_income_growth,34,38,44,45,43,39,38,19,31,41,45,44,38,36,44,42,43,35,36,35,37,30,38,20,44,38,37.56,6.9346953790343235
Cash_to_total_assets_ratio,41,43,41,39,38,38,45,42,33,34,42,35,26,43,43,38,37,41,33,32,38,45,41,30,35,38,38.12,4.87613234712376
Average_payment_period,39,39,39,17,23,12,36,37,40,12,36,17,35,39,38,36,18,28,35,40,41,26,22,41,38,39,31.36,9.827173211729471
Debt_to_total_assets_ratio,36,45,34,38,39,42,33,43,42,40,35,33,36,23,28,43,40,45,32,34,34,44,42,40,40,40,37.64,5.483915875843952
Operating_assets_Ratio,35,44,35,37,42,45,40,24,43,32,33,42,45,40,35,28,26,43,44,42,45,40,40,45,41,40,38.64,6.156839015815394
EPS_growth,30,41,45,32,40,44,39,31,44,42,44,43,37,35,41,40,44,42,31,33,43,28,27,18,45,44,37.56,7.071539200673829
Working_capital_return,44,40,29,33,45,41,44,45,35,39,25,34,44,45,42,33,45,38,40,45,36,39,45,44,34,45,39.36,5.670684849880716
