Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Mode,Mean,Std
Cost_to_sales_ratio,40,39,31,37,40,43,42,29,37,35,29,32,34,26,24,30,27,36,44,31,44,44,41,37,20,37,34.88,6.772001181334806
Return_ratio_without_risk,37,42,35,27,37,38,37,35,44,34,39,31,37,33,44,31,43,33,45,28,34,36,24,30,43,37,35.88,5.6370796221684385
Average_payment_period,12,36,14,39,31,23,19,39,35,40,10,41,38,43,38,38,11,38,38,35,36,39,36,39,28,38,31.84,10.45498286304988
Total_asset_turnover,38,38,36,38,33,39,35,38,36,37,38,39,36,42,30,39,39,37,36,34,35,38,34,35,38,38,36.72,2.4583192089989723
Profit_margin_growth_rate,39,37,40,29,38,40,40,30,39,42,41,26,40,29,39,40,32,41,39,40,40,40,37,27,41,40,37.04,4.936935621752965
Net_return_on_working_capital,42,40,37,41,39,41,41,40,40,31,40,43,41,31,40,41,41,40,42,41,41,42,38,41,40,41,39.76,2.9194748386196676
Current_debt_to_total_debt_Ratio,44,41,44,42,42,44,44,45,43,43,42,45,44,45,42,42,44,45,40,45,42,41,42,44,39,42,42.96,1.6703293088490065
Longterm_debt_to_equity_ratio,43,43,43,34,45,42,43,41,26,44,43,42,45,37,43,44,45,43,41,43,43,45,44,38,32,43,41.28,4.596375383567651
Quick_Ratio,31,32,38,44,44,33,39,44,30,45,27,33,42,44,33,28,34,42,37,44,27,34,43,45,44,44,37.48,6.33850665903781
P_to_E,45,45,39,30,35,37,32,42,45,38,44,36,19,32,41,43,40,31,33,42,38,33,45,31,42,45,37.52,6.364746656387825
Cash_flow_returns_to_sales,41,44,45,45,43,45,45,43,42,41,45,44,43,34,45,45,42,44,43,36,45,43,40,43,45,45,42.84,2.794041278626117
