Features,r_dicho_MinMax,r_dicho_Standard,b_dicho_MinMax,b_dicho_Standard
DuPont_Ratio_min,106,107,75,73
Beta_max,107,108,40,40
Cost_to_sales_ratio_min,108,109,99,97
P_to_S_mean,109,110,65,64
Net_profit_to_sale_mean,110,111,19,19
Sales_growth_rate_max,111,112,60,60
Net_profit_to_Gross_profit_median,112,113,2,2
Stock_market_value_max,113,114,27,27
Quick_Ratio_max,114,115,175,178
Working_capital_return_min,115,116,123,120
Profit_margin_before_interest_and_taxes_max,116,74,106,104
Net_working_capital_mean,117,117,24,24
DPS_max,118,118,125,122
Net_working_capital_max,119,119,23,23
ROE_median,120,120,139,142
DPS_min,121,121,135,123
Net_profit_to_sale_min,122,122,14,14
Current_debt_to_total_debt_Ratio_mean,123,123,39,39
Net_profit_to_Gross_profit_mean,124,124,18,18
Operating_profit_to_sale_mean,125,125,20,20
Beta_mean,126,126,35,35
Return_from_market_median,127,127,25,25
ROE_max,128,128,122,119
Operating_profit_to_sale_min,129,129,11,11
Gross_profit_margin_mean,130,130,149,132
Stock_market_value_median,131,131,9,9
Operating_profit_margin_max,132,132,38,38
Current_assets_ratio_min,133,133,132,133
Operating_profit_to_sale_max,134,134,16,16
Operating_profit_margin_median,135,135,86,82
P_to_E_mean,136,136,124,109
Operating_assets_Ratio_median,137,137,72,72
Current_assets_ratio_max,138,138,143,146
Net_profit_to_sale_max,139,139,21,21
Operating_profit_to_sale_median,140,140,6,6
Stock_market_value_min,141,141,13,13
Working_capital_return_mean,142,142,45,45
EPS_min,143,143,108,106
Return_ratio_without_risk_mean,144,144,150,150
Net_profit_to_Gross_profit_min,145,145,1,1
DPS_mean,146,146,59,99
P_to_B_mean,147,147,4,4
Stock_market_value_mean,148,148,26,26
Fixed_asset_turnover_min,149,149,42,42
Fixed_asset_turnover_max,150,150,119,116
P_to_B_min,151,151,64,76
Gross_profit_margin_max,152,152,114,113
P_to_E_max,153,153,93,91
Net_profit_to_Gross_profit_max,154,154,15,15
P_to_B_median,155,155,31,31
Cost_to_sales_ratio_mean,156,156,77,77
Operating_assets_Ratio_min,157,157,157,159
Capital_median,158,158,3,3
Cash_flow_returns_to_sales_median,159,159,94,92
Gross_profit_margin_median,160,160,110,108
Working_capital_return_max,161,161,130,130
Return_ratio_without_risk_max,162,162,141,153
Return_from_market_min,163,163,160,139
Capital_mean,164,164,17,17
Cash_flow_returns_to_sales_mean,165,165,188,180
Total_asset_turnover_mean,166,166,92,69
Cash_flow_returns_to_sales_max,167,167,88,86
Sales_growth_rate_min,168,168,90,88
EPS_median,169,169,54,55
Capital_min,170,170,5,5
DPS_median,171,171,103,101
Capital_max,172,172,8,8
Cost_to_sales_ratio_median,173,173,85,134
Net_return_on_working_capital_mean,174,174,49,49
Total_income_growth_min,175,175,154,156
EPS_growth_min,176,176,146,149
Cost_to_sales_ratio_max,177,177,98,71
Profit_margin_growth_rate_min,178,178,152,155
Average_payment_period_max,179,179,177,179
Total_asset_turnover_max,180,180,52,53
Longterm_debt_to_equity_ratio_max,181,181,153,131
P_to_S_max,182,182,48,48
Cash_flow_returns_to_sales_min,183,183,107,105
Net_return_on_working_capital_min,184,184,51,52
Beta_min,185,185,10,10
Fixed_asset_turnover_median,186,186,61,61
Fixed_asset_turnover_mean,187,187,97,96
Operating_assets_Ratio_mean,188,188,41,41
